,count,mean,std,min,q1,median,q3,max,lengths_below_50,percent_below_50,lengths_below_100,percent_below_100,lengths_below_200,percent_below_200
COHA,144384.0,304.6334843195922,163.5949778017201,1.0,171.0,267.0,500.0,500.0,6367.0,4.409768395390071,19030.0,13.180130762411347,44337.0,30.70769614361702
HBR,43688.0,424.70204632851124,141.49372071787448,1.0,431.0,500.0,500.0,500.0,1258.0,2.8795092473905877,2772.0,6.344991759750962,5460.0,12.497711041933712
ILR,41918.0,459.32637530416525,110.04315631260152,1.0,500.0,500.0,500.0,500.0,753.0,1.796364330359273,1460.0,3.4829906006965983,2738.0,6.531800181306361
