Topic,Source,Year,Rank,Word,Beta,SourceRank,InSharedTopK
0,HBR,1962,1,rate,6.136977e-03,6,False
0,HBR,1962,2,price,5.269603e-03,14,False
0,HBR,1962,3,profit,4.638680e-03,16,False
0,HBR,1962,4,capital,4.390155e-03,17,False
0,HBR,1962,5,product,4.379400e-03,18,False
0,HBR,1962,6,production,4.085734e-03,21,False
0,HBR,1962,7,investment,3.781037e-03,25,False
0,HBR,1962,8,total,3.597442e-03,26,False
0,HBR,1962,9,capacity,3.555811e-03,28,False
0,HBR,1962,10,unit,3.542667e-03,29,False
0,HBR,1962,11,amount,3.383460e-03,30,False
0,HBR,1967,1,price,8.024590e-03,4,False
0,HBR,1967,2,unit,4.786166e-03,13,False
0,HBR,1967,3,sale,4.477232e-03,16,False
0,HBR,1967,4,investment,4.457870e-03,17,False
0,HBR,1967,5,tax,4.117478e-03,18,False
0,HBR,1967,6,estimate,4.005505e-03,22,False
0,HBR,1967,7,man,3.847176e-03,24,False
0,HBR,1967,8,method,3.846919e-03,25,False
0,HBR,1967,9,base,3.737401e-03,26,False
0,HBR,1972,1,total,5.535829e-03,13,False
0,HBR,1972,2,plant,4.838125e-03,15,False
0,HBR,1972,3,period,4.194274e-03,22,False
0,HBR,1972,4,fund,4.173768e-03,24,False
0,HBR,1972,5,number,4.095635e-03,25,False
0,HBR,1972,6,sale,3.918130e-03,26,False
0,HBR,1972,7,amount,3.911712e-03,27,False
0,HBR,1972,8,show,3.862767e-03,28,False
0,HBR,1972,9,low,3.662833e-03,29,False
0,HBR,1972,10,return,3.617515e-03,30,False
0,HBR,1977,1,conrad,6.242613e-03,9,False
0,HBR,1977,2,profit,4.697172e-03,17,False
0,HBR,1977,3,reduce,4.412251e-03,22,False
0,HBR,1977,4,manager,4.173407e-03,25,False
0,HBR,1977,5,product,4.105606e-03,26,False
0,HBR,1977,6,market,4.043275e-03,27,False
0,HBR,1977,7,total,3.962246e-03,29,False
0,HBR,1977,8,sale,3.853213e-03,30,False
0,HBR,1982,1,price,6.087068e-03,8,False
0,HBR,1982,2,company,5.625177e-03,11,False
0,HBR,1982,3,capital,4.325998e-03,22,False
0,HBR,1982,4,change,3.767740e-03,26,False
0,HBR,1982,5,manufacturing,3.764669e-03,27,False
0,HBR,1982,6,product,3.594685e-03,29,False
0,HBR,1987,1,competition,4.328617e-03,17,False
0,HBR,1987,2,plant,4.186730e-03,19,False
0,HBR,1987,3,rate,4.175529e-03,21,False
0,HBR,1987,4,investment,3.605850e-03,27,False
0,HBR,1987,5,corporate,3.595519e-03,28,False
0,HBR,1987,6,corporation,3.432603e-03,30,False
